,County,gdp
0,"Alachua, Florida",18033
1,"Alameda, California",220300
2,"Albany, New York",43900
3,"Albemarle, Virginia",8100
4,"Allegheny, Pennsylvania",142100
5,"Barnstable, Massachusetts",12800
6,"Benton, Arkansas",22500
7,"Bexar, Texas",151600
8,"Boulder, Colorado",34500
9,"Brazos, Texas",13600
10,"Centre, Pennsylvania",13800
11,"Champaign, Illinois",13700
12,"Cleveland, Oklahoma",18400
13,"Coconino, Arizona",10800
14,"Cook, Illinois",747800
15,"Cumberland, Maine",28900
16,"Cuyahoga, Ohio",178900
17,"Davidson, Tennessee",92500
18,"DeKalb, Georgia",22800
19,"Delaware, Pennsylvania",60300
20,"Douglas, Kansas",9500
21,"Douglas, Nebraska",42900
22,"Douglas, Nevada",8400
23,"Durham, North Carolina",50400
24,"El Paso, Texas",35400
25,"Erie, New York",41800
26,"Fayette, Kentucky",34900
27,"Fulton, Georgia",231200
28,"Hampshire, Massachusetts",8200
29,"Harris, Texas",720300
30,"Hennepin, Minnesota",288400
31,"Hillsborough, Florida",139200
32,"Houghton, Michigan",2500
33,"Jackson, Missouri",108400
34,"King, Washington",481300
35,"Knox, Tennessee",34600
36,"Leon, Florida",17900
37,"Los Angeles, California",790000
38,"Lubbock, Texas",14500
39,"Maricopa, Arizona",339400
40,"McLennan, Texas",19100
41,"Mecklenburg, North Carolina",165800
42,"Miami-Dade, Florida",157800
43,"Middlesex, Massachusetts",275100
44,"Middlesex, New Jersey",120900
45,"Milwaukee, Wisconsin",87100
46,"Missoula, Montana",8200
47,"Monongalia, West Virginia",6600
48,"Monroe, New York",37500
49,"Montgomery, Ohio",44000
50,"New Haven, Connecticut",57600
51,"New York, New York",1043500
52,"Norfolk, Virginia",44400
53,"Orange, California",330500
54,"Orange, Florida",106000
55,"Phelps, Missouri",2200
56,"Philadelphia, Pennsylvania",513100
57,"Pickens, South Carolina",8300
58,"Pima, Arizona",48700
59,"Prince George's, Maryland",59100
60,"Richland, South Carolina",24800
61,"Riley, Kansas",7400
62,"Salt Lake, Utah",111800
63,"San Diego, California",284200
64,"Santa Barbara, California",54900
65,"Santa Clara, California",423100
66,"Santa Cruz, California",19600
67,"Sedgwick, Kansas",35700
68,"Socorro, New Mexico",1900
69,"St. Joseph, Indiana",18400
70,"Story, Iowa",9900
71,"Suffolk, Massachusetts",323800
72,"Suffolk, New York",100600
73,"Tarrant, Texas",213900
74,"Tippecanoe, Indiana",17700
75,"Tompkins, New York",10200
76,"Travis, Texas",220700
77,"Tuscaloosa, Alabama",14000
78,"Wake, North Carolina",148300
79,"Waller, Texas",6500
80,"Washington, D.C.",141000
81,"Washoe, Nevada",26400
82,"Washtenaw, Michigan",36400
83,"Wayne, Michigan",198100
84,"Worcester, Massachusetts",102000
