,City,gdp
0,Beijing,35445.13
1,Tianjin,14055.46
2,Shenyang,6470.0
3,Dalian,7002.0
4,Changchun,5904.0
5,Harbin,5249.0
6,Shanghai,37987.55
7,Nanjing,14031.0
8,Hangzhou,15373.0
9,Hefei,9409.0
10,Fuzhou,9392.0
11,Xiamen,5995.0
12,Nanchang,5596.0
13,Jinan,9443.0
14,Zhengzhou,11590.0
15,Wuhan,16223.0
16,Changsha,11574.0
17,Guangzhou,23629.0
18,Shenzhen,26927.0
19,Chongqing,23605.77
20,Chengdu,17013.0
21,Guiyang,4040.0
22,Kunming,6476.0
23,Xi'an,9321.0
24,Lanzhou,2837.0
25,Suzhou,19235.8
26,Guilin,2105.56
27,Yiyang,1792.46
28,Jiaozuo,2761.1
29,Xiangtan,2257.6
30,Huzhou,3122.4
31,Xuzhou,7151.35
32,Linfen,1452.6
